filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,std Z,std pitch,std roll,max Z,max pitch,max roll,mean Z,mean pitch,mean roll,MPM Z,MPM pitch,MPM roll
ymlfiles\Case_308_H2_T358_dir90_DOFbest.yml,2,3.58,2.539,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.03268551578452479,0.4251112591736879,0.6155151416757932,-0.8201967477798462,2.049449059994278,2.804802028183515,-0.9421534383826785,0.3010609390777777,-0.0024500669761530866,-0.8134255240766153,1.9844989547132772,2.483881842042781
ymlfiles\Case_309_H2_T358_dir135_DOFbest.yml,2,3.58,2.539,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.04802083154812996,0.5143596275346524,0.32673286864307766,-0.7588256001472473,2.5206653049373386,1.3918966100351011,-0.9397486738772304,0.30656439996374907,0.0010042133286968795,-0.7494165107108772,2.3718276511716874,1.3205598862723615
ymlfiles\Case_310_H2_T358_dir180_DOFbest.yml,2,3.58,2.539,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.06440757108745754,1.4485963359372553,6.708069597770014e-05,-0.6915040612220764,6.4290828959091675,-0.0015373666093031074,-0.9432342917499719,0.3132426876650089,-0.0020327393792506187,-0.6879536444772769,6.109598089941774,-0.0017688823545646513
ymlfiles\Case_311_H2_T408_dir0_DOFbest.yml,2,4.08,2.8936,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.09138593148042809,1.6245295613116233,9.277299862738411e-05,-0.6293589472770691,7.4217749059160045,-0.0015511536154483327,-0.9419635885004644,0.3034896044817067,-0.002035595777924072,-0.5830239257829133,6.775841434776896,-0.0016699562364198843
ymlfiles\Case_312_H2_T408_dir45_DOFbest.yml,2,4.08,2.8936,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.0949909048136443,0.7175129423607818,1.0643723122713094,-0.6299310326576233,3.9498732106958094,4.886798433676785,-0.9413661383771235,0.31604120673593356,0.005525164904199174,-0.5696657222273693,3.1708046423718375,4.227593474585192
ymlfiles\Case_313_H2_T408_dir90_DOFbest.yml,2,4.08,2.8936,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.0806364029959203,0.6348200066631626,0.6733930501449292,-0.6814944744110107,3.2655738466685684,2.51774155708575,-0.9414854274149295,0.2984560981944394,-0.006033239100244748,-0.6272023284445307,2.8009115287677604,2.6929279463230134
ymlfiles\Case_314_H2_T408_dir135_DOFbest.yml,2,4.08,2.8936,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.09251446962175958,0.5649312949868911,0.36587603712221717,-0.608946681022644,2.8535610411209436,1.5630784395519572,-0.9390932713432445,0.3088281370566373,0.0009384044349326904,-0.5764760832065154,2.565778682711059,1.4661158495607782
ymlfiles\Case_315_H2_T408_dir180_DOFbest.yml,2,4.08,2.8936,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.11422648014104728,1.7218808632841414,9.585896740155481e-05,-0.552075982093811,8.20887309926358,-0.0015252968429490552,-0.9424506363267148,0.31142409618560046,-0.0020335948803049154,-0.49398898934487956,7.164293110924714,-0.0016575042419537623
ymlfiles\Case_316_H2_T458_dir0_DOFbest.yml,2,4.58,3.2482,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.14673010701641093,1.7660147526799117,0.00012469008979521586,-0.4542709290981293,6.423311386060506,-0.0014826830951154373,-0.9404023000448942,0.305300197971806,-0.0020344876796139747,-0.36871780417741296,7.304365097574227,-0.001545484773643611
ymlfiles\Case_317_H2_T458_dir45_DOFbest.yml,2,4.58,3.2482,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.16007943038283004,0.8159748365482142,1.2895719128613443,-0.42665737867355347,3.2427100018653623,5.058733504993047,-0.9399571928787562,0.3213177221415939,0.004047055530978517,-0.3171273065362069,3.547518339607156,5.088204706292558
