sea_key,Hs_m,Tp_s,direction_deg,wave_type,case,heave_option,pitch_option,roll_option,response,status,mean,std,rms,max_abs,ptp,amplitude,minimum,maximum
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_16,linhigh,quadhigh,low,roll,ok,-0.0007969554927103492,0.021949527367235724,0.02196399075082648,0.06026417977973072,0.11121400590892058,0.05560700295446029,-0.06026417977973072,0.050949826129189864
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_17,linhigh,quadhigh,linhigh,heave,ok,-0.3896036955691684,1.1661844429481925,1.2295434903148157,2.3893589973449707,3.5025675296783447,1.7512837648391724,-2.3893589973449707,1.113208532333374
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_17,linhigh,quadhigh,linhigh,pitch,ok,-0.6320717752225575,8.911863115759076,8.934249768338697,12.965141922146367,25.27237355645407,12.636186778227035,-12.965141922146367,12.307231634307705
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_17,linhigh,quadhigh,linhigh,roll,ok,-0.0006687724081171802,0.018414123177429693,0.018426263563929946,0.041639778032466636,0.07793732093756515,0.03896866046878258,-0.041639778032466636,0.03629754290509852
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_18,linhigh,quadhigh,quadhigh,heave,ok,-0.38965793085760075,1.1662059472962965,1.2295810728006018,2.389378547668457,3.5027103424072266,1.7513551712036133,-2.389378547668457,1.1133317947387695
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_18,linhigh,quadhigh,quadhigh,pitch,ok,-0.6320901530202667,8.911418592026733,8.933807658768176,12.962698421970794,25.269455358131182,12.634727679065591,-12.962698421970794,12.306756936160388
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_18,linhigh,quadhigh,quadhigh,roll,ok,-0.00020537655515332357,0.02256909707995913,0.02257003151380224,0.06130603042210228,0.1163378484056202,0.0581689242028101,-0.05503181798351791,0.06130603042210228
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_19,quadhigh,low,low,heave,ok,-0.38397362902057075,1.1609155333930186,1.2227676081154684,2.365316867828369,3.5001940727233887,1.7500970363616943,-2.365316867828369,1.1348772048950195
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_19,quadhigh,low,low,pitch,ok,-0.6990030259334025,9.823953719642105,9.848790378312152,14.26660202509374,27.93724870076271,13.968624350381354,-14.26660202509374,13.67064667566897
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_19,quadhigh,low,low,roll,ok,-0.0025776219351622757,0.015085926772310684,0.015304552310347073,0.0325767539990411,0.05949733763294472,0.02974866881647236,-0.0325767539990411,0.026920583633903625
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_20,quadhigh,low,linhigh,heave,ok,-0.38404001232228485,1.1609416374880122,1.2228132386909487,2.365337371826172,3.5001120567321777,1.7500560283660889,-2.365337371826172,1.1347746849060059
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_20,quadhigh,low,linhigh,pitch,ok,-0.6984759868682745,9.820834193167899,9.845641317554046,14.266625076982187,27.94445284278978,13.97222642139489,-14.266625076982187,13.677827765807592
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_20,quadhigh,low,linhigh,roll,ok,-0.0019528750971667857,0.02156911271684685,0.02165733927649421,0.05357776809277872,0.09989148659595673,0.049945743297978365,-0.05357776809277872,0.04631371850317802
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_21,quadhigh,low,quadhigh,heave,ok,-0.38399107619153844,1.1609783393904662,1.222832715921757,2.3653318881988525,3.5005738735198975,1.7502869367599487,-2.3653318881988525,1.135241985321045
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_21,quadhigh,low,quadhigh,pitch,ok,-0.6988619742297956,9.824155107737116,9.848981248834908,14.26849654881477,27.943465026681068,13.971732513340534,-14.26849654881477,13.674968477866296
